"date","close","volume","open","high","low"
"2018/09/21","260.8800","6140275.0000","266.1500","267.5000","260.2400"
"2018/09/20","266.3400","2550923.0000","266.4700","269.5400","264.1892"
"2018/09/19","264.8800","2800658.0000","271.1400","271.9500","263.6139"
"2018/09/18","270.7900","2683481.0000","267.6100","273.7800","266.6033"
"2018/09/17","268.2500","3058137.0000","275.0000","275.7800","267.6800"
"2018/09/14","274.6900","6161126.0000","269.0000","277.6100","268.0000"
"2018/09/13","268.5200","4654434.0000","267.1300","270.0000","265.0100"
"2018/09/12","267.7900","3360269.0000","267.8300","270.9400","266.4480"
"2018/09/11","267.0000","2865916.0000","265.3000","268.6000","263.3100"
"2018/09/10","265.3700","2536100.0000","264.2700","265.9300","260.7900"
"2018/09/07","260.8700","2729499.0000","258.0000","263.6700","257.1200"
"2018/09/06","259.7500","2808856.0000","256.9500","260.2700","255.1400"
"2018/09/05","256.1400","4201266.0000","265.6100","266.1597","254.5400"
"2018/09/04","266.6800","2115329.0000","263.6700","266.9300","262.3000"
"2018/08/31","263.5100","2932835.0000","265.5500","266.8331","263.2000"
"2018/08/30","266.4300","2403516.0000","266.7200","269.0500","265.5000"
"2018/08/29","268.3600","3139887.0000","263.0000","269.9600","262.5600"
"2018/08/28","263.0400","1843121.0000","263.7000","263.7000","261.0300"
"2018/08/27","262.4000","2428816.0000","263.0000","263.7000","259.3900"
"2018/08/24","261.5100","3847880.0000","258.3300","263.3900","258.3300"
"2018/08/23","257.0000","2956002.0000","254.6200","258.3290","254.4700"
"2018/08/22","255.5400","1889436.0000","250.5900","256.1600","250.3600"
"2018/08/21","251.5000","2147874.0000","250.4500","253.3300","250.3600"
"2018/08/20","249.7600","2898181.0000","246.0800","250.3700","246.0000"
"2018/08/17","245.7000","2721937.0000","248.3900","249.2200","243.7100"
"2018/08/16","248.8900","2385256.0000","252.7900","253.3000","248.1000"
"2018/08/15","250.5200","2728123.0000","253.8000","255.8300","248.0200"
"2018/08/14","256.0500","2096200.0000","254.3800","256.2500","252.0900"
"2018/08/13","253.5400","1532696.0000","254.1600","256.6000","253.3000"
"2018/08/10","253.7000","1777373.0000","252.0000","254.9700","251.5000"
"2018/08/09","253.8000","2089747.0000","254.5500","255.7500","253.3900"
"2018/08/08","253.8300","1585135.0000","252.9500","254.5700","251.6300"
"2018/08/07","253.3900","1858227.0000","254.5000","255.1600","252.4500"
"2018/08/06","254.1100","1534762.0000","252.7400","254.8799","251.5400"
"2018/08/03","253.2800","2094007.0000","252.5750","254.3900","249.4800"
"2018/08/02","252.2200","2381393.0000","245.6970","252.5700","245.0000"
"2018/08/01","248.0100","3184951.0000","245.0000","248.7600","244.2400"
"2018/07/31","244.6800","2935185.0000","244.9300","246.7999","241.1600"
"2018/07/30","242.3200","5483705.0000","254.4200","254.7600","240.1000"
"2018/07/27","254.8100","3012945.0000","262.0500","262.8646","253.0500"
"2018/07/26","261.9300","2265294.0000","261.9200","263.8300","258.4916"
"2018/07/25","263.1700","2263658.0000","258.3500","263.5000","257.8300"
"2018/07/24","257.4900","2410072.0000","261.0400","262.7275","255.9320"
"2018/07/23","259.4700","1807571.0000","257.6600","260.1400","256.3800"
"2018/07/20","257.5400","2221305.0000","258.1700","259.4500","256.7400"
"2018/07/19","257.6800","1916004.0000","258.0000","259.6000","256.3600"
"2018/07/18","259.7800","2600360.0000","257.8600","260.9400","256.5400"
"2018/07/17","258.3100","2550732.0000","252.6800","258.6800","250.7100"
"2018/07/16","254.6800","2160110.0000","258.6300","259.0400","253.8300"
"2018/07/13","258.5900","3934056.0000","254.6400","259.5100","253.4901"
"2018/07/12","254.8700","2759465.0000","249.9400","255.0500","249.3800"
"2018/07/11","248.1200","1722097.0000","246.6500","249.7400","245.8500"
"2018/07/10","248.6300","2005443.0000","250.4700","250.8464","248.2100"
"2018/07/09","249.7700","2157605.0000","249.9000","250.6600","246.3700"
"2018/07/06","248.1900","1860835.0000","244.4800","248.7200","243.2200"
"2018/07/05","244.1800","1826290.0000","243.0400","244.6200","242.1400"
"2018/07/03","242.0100","1307705.0000","244.7200","245.9400","241.6700"
"2018/07/02","243.2600","4084997.0000","241.0500","243.3300","239.6000"
"2018/06/29","243.8100","3699761.0000","241.8800","245.4900","241.5000"
"2018/06/28","239.8100","2217207.0000","236.5900","241.8186","236.4385"
"2018/06/27","237.6800","3338013.0000","243.4600","244.9797","237.5100"
"2018/06/26","242.2500","2940024.0000","240.6700","244.2300","239.6600"
"2018/06/25","239.6800","4566376.0000","240.1500","241.9600","235.8700"
"2018/06/22","243.6300","4121953.0000","248.1100","248.7999","243.2600"
"2018/06/21","248.8300","2558651.0000","252.0000","252.7190","247.5700"
"2018/06/20","251.2400","2576136.0000","253.5000","254.8000","250.9800"
"2018/06/19","251.7400","3528097.0000","251.8300","253.6500","247.9000"
"2018/06/18","255.6900","3761738.0000","250.5200","256.7700","249.8000"
"2018/06/15","251.8200","8976315.0000","251.2800","253.8700","247.5200"
"2018/06/14","258.1000","5386334.0000","257.1500","258.9102","256.5800"
"2018/06/13","256.1300","3504798.0000","253.7000","257.9000","253.6500"
"2018/06/12","252.5900","3479122.0000","252.6500","254.8000","251.1300"
"2018/06/11","251.0000","2868125.0000","251.7600","253.4800","250.1250"
"2018/06/08","251.2100","2842153.0000","246.8600","251.6600","245.8300"
