"date","close","volume","open","high","low"
"2015/11/30","79.6900","4417677.0000","79.7300","80.1800","79.2900"
"2015/11/27","79.9700","2221886.0000","80.2200","80.4800","79.4500"
"2015/11/25","80.4100","2487318.0000","80.3700","81.1200","79.7500"
"2015/11/24","80.3900","3413267.0000","80.3000","80.8000","79.1300"
"2015/11/23","80.7800","3594466.0000","80.4400","81.7400","80.3900"
"2015/11/20","80.9900","5333425.0000","80.9000","82.1397","79.7100"
"2015/11/19","80.6400","11597700.0000","81.0500","82.9000","80.4500"
"2015/11/18","77.3500","6294221.0000","77.7700","78.0475","75.8100"
"2015/11/17","77.2400","4566153.0000","76.5700","78.4900","76.4100"
"2015/11/16","76.2600","4047744.0000","75.5400","76.3325","73.9400"
"2015/11/13","75.6000","3921669.0000","78.0800","78.0800","75.4199"
"2015/11/12","78.3000","3158769.0000","78.4700","79.7500","78.2300"
"2015/11/11","78.7100","2385722.0000","78.5400","79.0000","78.0900"
"2015/11/10","78.2500","2610508.0000","78.2000","78.3600","77.3000"
"2015/11/09","78.2200","3087588.0000","78.9300","79.0200","77.4100"
"2015/11/06","79.4100","2833727.0000","78.5600","79.6299","78.1800"
"2015/11/05","78.7100","2602274.0000","78.4100","79.4800","77.8000"
"2015/11/04","78.3900","2586157.0000","78.8800","79.4800","78.0800"
"2015/11/03","78.6300","2398471.0000","79.0300","79.3200","78.2500"
"2015/11/02","79.2000","3109268.0000","77.7100","79.8200","77.5000"
"2015/10/30","77.7100","3365849.0000","78.1500","78.6300","77.4200"
"2015/10/29","78.1400","1821838.0000","78.5800","78.7200","77.5700"
"2015/10/28","78.5300","3266317.0000","77.8800","78.5300","76.5700"
"2015/10/27","77.7500","1683512.0000","78.0400","78.6220","77.3200"
"2015/10/26","78.2200","2699790.0000","78.5800","79.3000","77.6400"
"2015/10/23","78.5600","3969578.0000","78.2000","79.3800","77.2700"
"2015/10/22","77.3700","3278501.0000","76.4500","78.4199","76.4500"
"2015/10/21","75.8300","3134754.0000","77.4200","77.5300","75.3100"
"2015/10/20","77.5300","2006732.0000","78.0000","78.5100","76.8800"
"2015/10/19","77.9300","4346882.0000","78.4400","79.3300","77.4800"
"2015/10/16","78.7700","3602307.0000","78.1800","78.8400","77.4600"
"2015/10/15","77.7000","3287277.0000","76.1900","78.3400","75.9100"
"2015/10/14","75.5800","3447024.0000","76.2900","76.5700","75.2100"
"2015/10/13","76.6300","5574205.0000","76.5200","78.3000","75.8400"
"2015/10/12","75.8800","2594154.0000","75.3100","76.2490","74.9900"
"2015/10/09","75.2500","3102809.0000","75.2300","75.7000","74.7400"
"2015/10/08","75.0900","3797147.0000","74.9800","75.9000","74.1200"
"2015/10/07","75.0000","3049364.0000","74.6200","75.2900","73.2500"
"2015/10/06","74.4200","2519164.0000","75.0900","75.2800","73.8900"
"2015/10/05","75.2700","4169477.0000","74.0900","75.7500","73.8600"
"2015/10/02","73.9300","4837564.0000","71.6800","74.0200","71.1600"
"2015/10/01","72.9100","8104800.0000","69.1600","73.0700","68.6800"
"2015/09/30","69.4300","4078603.0000","69.0800","69.6200","67.8200"
"2015/09/29","68.3800","4648547.0000","69.0900","69.6700","67.7100"
"2015/09/28","69.0400","5638429.0000","71.9500","72.6940","68.9700"
"2015/09/25","72.4400","4829884.0000","72.6000","73.6200","71.9500"
"2015/09/24","71.7100","3049908.0000","71.5500","72.0000","70.4500"
"2015/09/23","71.9900","2683661.0000","71.5000","72.3600","70.9700"
"2015/09/22","71.6500","3455434.0000","71.3900","71.9400","70.9100"
"2015/09/21","72.1400","2906997.0000","71.7600","72.6400","71.0600"
"2015/09/18","71.4000","6022856.0000","71.3000","72.4200","70.6200"
"2015/09/17","72.3200","4177308.0000","71.5000","73.2000","71.5000"
"2015/09/16","71.8800","3327051.0000","71.5000","72.0000","70.9800"
"2015/09/15","71.2700","4264920.0000","70.6300","71.7000","70.1500"
"2015/09/14","69.8900","3435816.0000","70.2000","70.4000","69.5400"
"2015/09/11","70.0500","3436953.0000","69.5400","70.0900","68.9000"
"2015/09/10","69.7400","2855448.0000","69.0000","70.0000","68.9200"
"2015/09/09","69.0300","3652445.0000","71.0200","71.3299","68.8500"
"2015/09/08","70.7600","4083967.0000","68.3400","70.8200","68.3100"
"2015/09/04","67.1300","3131808.0000","67.2800","67.9700","66.5400"
"2015/09/03","68.2500","2924258.0000","68.3000","69.2500","67.9500"
"2015/09/02","67.9800","3462877.0000","67.5900","67.9800","66.3300"
"2015/09/01","66.6300","4363910.0000","67.8600","68.6200","66.2600"
"2015/08/31","69.3600","3890628.0000","69.7900","70.2100","69.0300"
"2015/08/28","70.2500","4180244.0000","69.7500","70.8200","69.4700"
"2015/08/27","69.9400","4840726.0000","69.3100","70.2400","68.2500"
"2015/08/26","68.5200","7931152.0000","66.7000","68.6350","65.2901"
"2015/08/25","65.1800","7027542.0000","67.5900","68.2000","65.0200"
"2015/08/24","65.1700","9648841.0000","65.7600","68.9900","64.1600"
"2015/08/21","69.1500","13085870.0000","69.0000","71.5500","68.2800"
"2015/08/20","67.8200","7950243.0000","71.6200","72.0000","67.5000"
"2015/08/19","72.0400","4768093.0000","72.5400","72.9450","71.7400"
"2015/08/18","72.5800","4123077.0000","73.9100","74.0450","72.0300"
"2015/08/17","74.0400","3073820.0000","72.5900","74.1400","71.6000"
"2015/08/14","72.9900","3246439.0000","71.1900","73.2700","70.8600"
"2015/08/13","71.4000","2302930.0000","71.4400","71.9300","70.7500"
"2015/08/12","71.0400","3152582.0000","71.1000","71.3750","69.5600"
"2015/08/11","71.6300","2396529.0000","70.6800","71.8800","70.4000"
"2015/08/10","71.2700","1813908.0000","71.1300","71.5200","70.7000"
"2015/08/07","70.4100","2220444.0000","70.4500","70.7300","69.4800"
"2015/08/06","70.4300","2181767.0000","72.7800","72.8800","70.3200"
"2015/08/05","72.5300","2103389.0000","72.5700","73.6400","72.4300"
"2015/08/04","71.8900","2088728.0000","72.4500","72.7600","71.8000"
"2015/08/03","72.4400","2580268.0000","73.5700","73.6400","72.0600"
"2015/07/31","73.3000","2144540.0000","73.4100","74.1500","73.0100"
"2015/07/30","73.3600","2362845.0000","73.6900","73.8400","72.3400"
"2015/07/29","73.8800","2152632.0000","73.0300","74.1900","72.3300"
"2015/07/28","73.7900","3429378.0000","72.7900","73.8600","71.7500"
"2015/07/27","72.4600","3478152.0000","73.3700","73.8900","72.3100"
"2015/07/24","73.9200","3462600.0000","72.7100","74.1900","72.2600"
"2015/07/23","72.2100","3231569.0000","74.2500","74.5200","71.9700"
"2015/07/22","73.8700","3297119.0000","73.3700","74.4200","73.1816"
"2015/07/21","73.8300","3619016.0000","72.6200","73.9200","72.5000"
"2015/07/20","72.7700","2170399.0000","72.8900","73.1900","72.4100"
"2015/07/17","72.8100","3005844.0000","72.5400","73.5000","72.0700"
"2015/07/16","72.4200","2769443.0000","71.9100","72.4300","71.6250"
"2015/07/15","71.3600","1717204.0000","71.7500","72.1600","71.0700"
"2015/07/14","71.7900","2024089.0000","71.2100","72.0100","71.2100"
"2015/07/13","71.0500","2446358.0000","71.5900","71.8600","71.0001"
"2015/07/10","71.1400","2252127.0000","70.9740","71.4200","70.4700"
"2015/07/09","69.9600","3297535.0000","70.5000","71.6000","69.9400"
"2015/07/08","69.3900","2988279.0000","70.0300","70.4900","69.0701"
"2015/07/07","70.2600","4935568.0000","70.1800","70.5100","68.3300"
"2015/07/06","69.1600","3586538.0000","69.7700","69.8300","68.5500"
"2015/07/02","70.4200","1562201.0000","70.9200","71.0500","69.9800"
"2015/07/01","70.5400","3061273.0000","70.5800","71.0400","70.1500"
"2015/06/30","69.6300","3553975.0000","70.6800","70.7750","69.1100"
"2015/06/29","70.0000","2686872.0000","71.6700","71.8700","69.9300"
"2015/06/26","72.3400","4089671.0000","73.7500","73.9100","72.0900"
"2015/06/25","73.6100","1952425.0000","74.3200","74.6500","73.3700"
"2015/06/24","73.5000","2763289.0000","74.1000","74.5500","72.9890"
"2015/06/23","74.2000","3141855.0000","74.8600","74.9800","73.8600"
