Date,Twitter Account,Total Tweets,Average Positive Score,Average Negative Score,Average Neutral Score,Total Retweets,Total Likes,Company Name
2018-08-27,@sundarpichai,1,0.212,0.0,0.788,373,2442,Google LLC
2018-08-28,@sundarpichai,1,0.16,0.0,0.84,41631,0,Google LLC
2018-09-07,@sundarpichai,1,0.234,0.0,0.766,653,0,Google LLC
2018-09-11,@reedhastings,1,0.382,0.0,0.618,1008,0,"Netflix, Inc."
2018-09-13,@sundarpichai,2,0.094,0.169,0.736,427,2282,Google LLC
2018-09-18,@sundarpichai,3,0.06733333333333334,0.052,0.8803333333333333,897,5401,Google LLC
2018-09-21,@sundarpichai,1,0.258,0.0,0.742,945,0,Google LLC
2018-09-24,@sundarpichai,2,0.1655,0.0,0.8345,1755,8302,Google LLC
2018-10-01,@sundarpichai,1,0.0,0.17,0.83,1309,8180,Google LLC
2018-10-09,@sundarpichai,1,0.137,0.0,0.863,671,3616,Google LLC
2018-10-10,@sundarpichai,1,0.081,0.0,0.919,177,0,Google LLC
2018-10-11,@sundarpichai,1,0.0,0.171,0.829,181,1764,Google LLC
2018-10-12,@sundarpichai,1,0.215,0.178,0.607,498,2491,Google LLC
2018-10-15,@sundarpichai,3,0.26866666666666666,0.030666666666666665,0.7006666666666667,1543,8984,Google LLC
2018-10-16,@sundarpichai,1,0.352,0.0,0.648,173,2796,Google LLC
2018-10-17,@sundarpichai,1,0.187,0.058,0.756,199,0,Google LLC
2018-10-18,@sundarpichai,1,0.095,0.0,0.905,262,0,Google LLC
2018-10-22,@sundarpichai,1,0.297,0.0,0.703,2158,13300,Google LLC
2018-10-23,@sundarpichai,2,0.20750000000000002,0.0,0.7925,358,0,Google LLC
2018-10-29,@sundarpichai,1,0.289,0.0,0.711,1388,5011,Google LLC
2018-11-06,@sundarpichai,2,0.161,0.0,0.839,3269,0,Google LLC
2018-11-09,@sundarpichai,2,0.1125,0.0,0.8875,448,3811,Google LLC
2018-11-11,@sundarpichai,1,0.329,0.0,0.671,366,5072,Google LLC
2018-11-13,@sundarpichai,1,0.124,0.0,0.876,103,0,Google LLC
2018-11-22,@sundarpichai,1,0.237,0.096,0.667,232,2765,Google LLC
2018-11-29,@sundarpichai,1,0.153,0.0,0.847,424,3217,Google LLC
2018-12-01,@sundarpichai,2,0.1545,0.1845,0.661,1041,11790,Google LLC
2018-12-02,@sundarpichai,2,0.1045,0.1155,0.78,33191,0,Google LLC
2018-12-03,@sundarpichai,2,0.45899999999999996,0.0,0.5409999999999999,244,2452,Google LLC
2018-12-04,@sundarpichai,3,0.10799999999999998,0.0,0.892,799,3315,Google LLC
2018-12-05,@sundarpichai,1,0.35,0.0,0.65,49,0,Google LLC
2018-12-12,@sundarpichai,1,0.116,0.0,0.884,1483,8453,Google LLC
2018-12-13,@sundarpichai,1,0.1,0.177,0.723,297,2333,Google LLC
2018-12-20,@sundarpichai,1,0.287,0.125,0.588,230,2100,Google LLC
2018-12-28,@reedhastings,1,0.0,0.0,1.0,532,0,"Netflix, Inc."
2018-12-30,@reedhastings,1,0.123,0.0,0.877,23,0,"Netflix, Inc."
2019-01-07,@sundarpichai,1,0.333,0.0,0.667,226,1773,Google LLC
2019-01-08,@sundarpichai,1,0.226,0.0,0.774,114,1370,Google LLC
2019-01-16,@sundarpichai,1,0.227,0.0,0.773,203,2057,Google LLC
2019-01-21,@sundarpichai,3,0.26,0.0,0.7400000000000001,642,6566,Google LLC
2019-01-22,@sundarpichai,2,0.2615,0.041,0.6975,621,8964,Google LLC
2019-01-23,@reedhastings,1,0.406,0.0,0.594,32,0,"Netflix, Inc."
2019-01-25,@sundarpichai,1,0.162,0.0,0.838,1223,6749,Google LLC
2019-02-01,@sundarpichai,1,0.0,0.0,1.0,428,5885,Google LLC
2019-02-03,@reedhastings,1,0.43,0.0,0.57,613,0,"Netflix, Inc."
2019-02-04,@sundarpichai,1,0.0,0.0,1.0,188,0,Google LLC
2019-02-05,@sundarpichai,1,0.242,0.0,0.758,982,3768,Google LLC
2019-02-07,@sundarpichai,1,0.218,0.0,0.782,356,2707,Google LLC
2019-02-12,@sundarpichai,1,0.0,0.0,1.0,123,1182,Google LLC
2019-02-13,@sundarpichai,2,0.071,0.0,0.929,1378,10683,Google LLC
2019-02-25,@sundarpichai,1,0.0,0.0,1.0,80,0,Google LLC
2019-02-26,@sundarpichai,1,0.371,0.0,0.629,694,3720,Google LLC
2019-03-01,@reedhastings,1,0.313,0.0,0.687,0,4,"Netflix, Inc."
2019-03-02,@sundarpichai,1,0.226,0.0,0.774,66,0,Google LLC
2019-03-06,@sundarpichai,1,0.141,0.0,0.859,296,1756,Google LLC
2019-03-08,@sundarpichai,2,0.17850000000000002,0.0,0.8215,1183,9905,Google LLC
2019-03-09,@sundarpichai,1,0.111,0.0,0.889,121,0,Google LLC
2019-03-11,@sundarpichai,1,0.123,0.0,0.877,461,2691,Google LLC
2019-03-13,@sundarpichai,2,0.0585,0.0605,0.881,671,3058,Google LLC
2019-03-14,@elonmusk,1,0.082,0.146,0.773,4928,19552,"Tesla, Inc."
2019-03-15,@elonmusk,7,0.09,0.05185714285714286,0.8582857142857143,3670,68738,"Tesla, Inc."
2019-03-16,@elonmusk,19,0.08010526315789473,0.03110526315789474,0.8888421052631578,22022,186964,"Tesla, Inc."
2019-03-17,@elonmusk,21,0.10233333333333333,0.02542857142857143,0.872238095238095,17779,215589,"Tesla, Inc."
2019-03-18,@elonmusk,1,0.191,0.0,0.809,1375,0,"Tesla, Inc."
2019-03-19,@elonmusk,3,0.0,0.0,1.0,14029,5109,"Tesla, Inc."
2019-03-20,@elonmusk,7,0.042428571428571434,0.019285714285714288,0.9381428571428571,24424,1228,"Tesla, Inc."
2019-03-21,@elonmusk,10,0.1464,0.059399999999999994,0.7942,2522,24697,"Tesla, Inc."
2019-03-22,@elonmusk,12,0.23075,0.042916666666666665,0.7263333333333334,4191,47443,"Tesla, Inc."
2019-03-23,@elonmusk,1,0.0,0.0,1.0,757,0,"Tesla, Inc."
2019-03-24,@elonmusk,8,0.15325,0.008375,0.8382499999999999,3565,70397,"Tesla, Inc."
2019-03-25,@elonmusk,4,0.22675,0.0565,0.71675,4900,39028,"Tesla, Inc."
2019-03-26,@elonmusk,13,0.2218461538461538,0.040692307692307694,0.7373846153846154,9515,138299,"Tesla, Inc."
2019-03-27,@elonmusk,6,0.26133333333333336,0.057499999999999996,0.6811666666666666,2359,19340,"Tesla, Inc."
2019-03-28,@elonmusk,4,0.11374999999999999,0.038,0.84825,2053,14176,"Tesla, Inc."
2019-03-29,@elonmusk,9,0.277,0.02588888888888889,0.6971111111111111,4539,27861,"Tesla, Inc."
2019-03-30,@elonmusk,32,0.09809375000000002,0.1380625,0.76378125,87025,907585,"Tesla, Inc."
2019-03-31,@elonmusk,5,0.1832,0.0236,0.793,2785,48628,"Tesla, Inc."
2019-04-01,@elonmusk,17,0.18329411764705883,0.04164705882352941,0.7750588235294118,14039,169093,"Tesla, Inc."
2019-04-02,@elonmusk,8,0.14475,0.133875,0.721375,24972,242950,"Tesla, Inc."
2019-04-03,@elonmusk,10,0.11889999999999998,0.020800000000000003,0.8603,4922,78847,"Tesla, Inc."
2019-04-04,@elonmusk,8,0.29350000000000004,0.01875,0.68775,2925,34266,"Tesla, Inc."
